duration_min,pulse_bpm,max_pulse_bpm,calories,calories_imputed,duration_min_outlier,pulse_bpm_outlier,max_pulse_bpm_outlier,calories_outlier,calories_per_min
90,90,120,500.3,0,1,0,0,0,5.56
210,137,184,1860.4,0,1,1,1,1,8.86
60,102,124,325.2,0,0,0,0,0,5.42
45,107,124,275.0,0,0,0,0,0,6.11
15,124,139,124.2,0,1,0,0,0,8.28
60,108,131,367.6,0,0,0,0,0,6.13
60,108,151,351.7,0,0,0,0,0,5.86
60,116,141,443.0,0,0,0,0,0,7.38
60,97,122,277.4,0,0,0,0,0,4.62
60,105,125,320.4,1,0,0,0,0,5.34
60,103,124,332.7,0,0,0,0,0,5.54
30,112,137,193.9,0,0,0,0,0,6.46
45,100,120,100.7,0,0,0,0,0,2.24
60,119,169,336.7,0,0,0,1,0,5.61
60,107,127,344.9,0,0,0,0,0,5.75
60,111,151,368.5,0,0,0,0,0,6.14
60,98,122,271.0,0,0,0,0,0,4.52
60,97,124,275.3,0,0,0,0,0,4.59
60,109,127,382.0,0,0,0,0,0,6.37
90,99,125,466.4,0,1,0,0,0,5.18
60,114,151,384.0,0,0,0,0,0,6.4
60,104,134,342.5,0,0,0,0,0,5.71
60,107,138,357.5,0,0,0,0,0,5.96
60,103,133,335.0,0,0,0,0,0,5.58
60,106,132,327.5,0,0,0,0,0,5.46
60,103,136,339.0,0,0,0,0,0,5.65
20,136,156,189.0,0,1,1,0,0,9.45
45,117,143,317.7,0,0,0,0,0,7.06
45,115,137,318.0,0,0,0,0,0,7.07
45,113,138,308.0,0,0,0,0,0,6.84
20,141,162,222.4,0,1,1,0,0,11.12
60,108,135,390.0,0,0,0,0,0,6.5
60,97,127,320.4,1,0,0,0,0,5.34
45,100,120,250.4,0,0,0,0,0,5.56
45,122,149,335.4,0,0,0,0,0,7.45
60,136,170,470.2,0,0,1,1,0,7.84
45,106,126,270.8,0,0,0,0,0,6.02
60,107,136,400.0,0,0,0,0,0,6.67
60,112,146,361.9,0,0,0,0,0,6.03
30,103,127,185.0,0,0,0,0,0,6.17
60,110,150,409.4,0,0,0,0,0,6.82
60,106,134,343.0,0,0,0,0,0,5.72
60,109,129,353.2,0,0,0,0,0,5.89
60,109,138,374.0,0,0,0,0,0,6.23
30,150,167,275.8,0,0,1,1,0,9.19
60,105,128,328.0,0,0,0,0,0,5.47
60,97,131,270.4,0,0,0,0,0,4.51
60,100,120,270.4,0,0,0,0,0,4.51
60,114,150,382.8,0,0,0,0,0,6.38
30,80,120,240.9,0,0,1,0,0,8.03
30,85,120,250.4,0,0,0,0,0,8.35
45,90,130,260.4,0,0,0,0,0,5.79
45,95,130,270.0,0,0,0,0,0,6.0
45,100,140,280.9,0,0,0,0,0,6.24
60,105,140,290.8,0,0,0,0,0,4.85
60,110,145,300.0,0,0,0,0,0,5.0
60,115,145,310.2,0,0,0,0,0,5.17
75,120,150,320.4,0,0,0,0,0,4.27
75,125,150,330.4,0,0,0,0,0,4.41
