duration_min,pulse_bpm,max_pulse_bpm,calories,calories_imputed,duration_min_outlier,pulse_bpm_outlier,max_pulse_bpm_outlier,calories_outlier,calories_per_min,duration_min_z,pulse_bpm_z,max_pulse_bpm_z
60,100,122,329.4,0,0,0,0,0,5.49,-0.09757503616583171,-0.5256932820131169,-0.7469493583575532
60,111,138,400.0,0,0,0,0,0,6.67,-0.09757503616583171,0.22433508351720716,0.22743047901676786
60,111,131,397.0,0,0,0,0,0,6.62,-0.09757503616583171,0.22433508351720716,-0.1988606998344976
60,99,119,273.0,0,0,0,0,0,4.55,-0.09757503616583171,-0.59387767887951,-0.9296455778652384
60,109,153,387.6,0,0,0,0,0,6.46,-0.09757503616583171,0.08796628978442096,1.1409115765551938
45,111,136,300.0,0,0,0,0,0,6.67,-0.4462622977584361,0.22433508351720716,0.10563299934497773
45,108,129,298.0,0,0,0,0,0,6.62,-0.4462622977584361,0.019781892918027864,-0.3206581795062877
60,111,139,397.6,0,0,0,0,0,6.63,-0.09757503616583171,0.22433508351720716,0.28832921885266294
60,107,136,380.2,0,0,0,0,0,6.34,-0.09757503616583171,-0.048402503948365226,0.10563299934497773
80,123,146,643.1,0,0,0,0,1,8.04,0.3673413126243075,1.0425478459139244,0.7146203977039284
60,106,130,263.0,0,0,0,0,0,4.38,-0.09757503616583171,-0.11658690081475832,-0.25975943967039267
60,118,151,486.0,0,0,0,0,0,8.1,-0.09757503616583171,0.7016258615819588,1.0191140968834038
30,136,175,238.0,0,0,1,1,0,7.93,-0.7949495593510405,1.9289450051770345,2.4806838529448854
60,121,146,450.7,0,0,0,0,0,7.51,-0.09757503616583171,0.9061790521811381,0.7146203977039284
60,118,121,413.0,0,0,0,0,0,6.88,-0.09757503616583171,0.7016258615819588,-0.8078480981934483
45,115,144,305.0,0,0,0,0,0,6.78,-0.4462622977584361,0.4970726709827795,0.5928229180321383
20,153,172,226.4,0,1,1,1,0,11.32,-1.0274077337461103,3.0880797519057173,2.2979876334372
45,123,152,321.0,0,0,0,0,0,7.13,-0.4462622977584361,1.0425478459139244,1.0800128367192987
210,108,160,1376.0,0,1,0,0,1,6.55,3.3892975797602127,0.019781892918027864,1.5672027554064594
160,110,137,1034.4,0,1,0,0,1,6.47,2.2270067077848643,0.15615068665081405,0.1665317391808728
160,109,135,853.0,0,1,0,0,1,5.33,2.2270067077848643,0.08796628978442096,0.04473425950908266
45,118,141,341.0,0,0,0,0,0,7.58,-0.4462622977584361,0.7016258615819588,0.41012669852445305
20,110,130,131.4,0,1,0,0,0,6.57,-1.0274077337461103,0.15615068665081405,-0.25975943967039267
180,90,130,800.4,0,1,0,0,1,4.45,2.691923056575004,-1.2075372506770479,-0.25975943967039267
150,105,135,873.4,0,1,0,0,1,5.82,1.9945485333897948,-0.18477129768115141,0.04473425950908266
150,107,130,816.0,0,1,0,0,1,5.44,1.9945485333897948,-0.048402503948365226,-0.25975943967039267
20,106,136,110.4,0,1,0,0,0,5.52,-1.0274077337461103,-0.11658690081475832,0.10563299934497773
300,108,143,1500.2,0,1,0,0,1,5.0,5.48142114931584,0.019781892918027864,0.5319241781962432
150,97,129,1115.0,0,1,0,0,1,7.43,1.9945485333897948,-0.7302464726122961,-0.3206581795062877
90,100,127,700.0,0,1,0,0,1,7.78,0.5997994870193771,-0.5256932820131169,-0.4424556591780779
150,97,127,953.2,0,1,0,0,1,6.35,1.9945485333897948,-0.7302464726122961,-0.4424556591780779
45,114,146,304.0,0,0,0,0,0,6.76,-0.4462622977584361,0.4288882741163864,0.7146203977039284
90,98,125,563.2,0,1,0,0,0,6.26,0.5997994870193771,-0.662062075745903,-0.564253138849868
45,105,134,251.0,0,0,0,0,0,5.58,-0.4462622977584361,-0.18477129768115141,-0.016164480326812402
45,110,141,300.0,0,0,0,0,0,6.67,-0.4462622977584361,0.15615068665081405,0.41012669852445305
120,100,130,500.4,0,1,0,0,0,4.17,1.297174010204586,-0.5256932820131169,-0.25975943967039267
270,100,131,1729.0,0,1,0,0,1,6.4,4.784046626130631,-0.5256932820131169,-0.1988606998344976
30,159,182,319.2,0,0,1,1,0,10.64,-0.7949495593510405,3.497186133104076,2.9069750317961507
45,149,169,344.0,0,0,1,1,0,7.64,-0.4462622977584361,2.815342164440145,2.115291413929515
30,103,139,151.1,0,0,0,0,0,5.04,-0.7949495593510405,-0.3211400914139376,0.28832921885266294
120,100,130,500.0,0,1,0,0,0,4.17,1.297174010204586,-0.5256932820131169,-0.25975943967039267
45,100,120,225.3,0,0,0,0,0,5.01,-0.4462622977584361,-0.5256932820131169,-0.8687468380293434
30,151,170,300.0,0,0,1,1,0,10.0,-0.7949495593510405,2.951710958172931,2.1761901537654103
45,102,136,234.0,0,0,0,0,0,5.2,-0.4462622977584361,-0.3893244882803307,0.10563299934497773
120,100,157,1000.1,0,1,0,0,1,8.33,1.297174010204586,-0.5256932820131169,1.3845065358987743
45,129,103,242.0,0,0,1,0,0,5.38,-0.4462622977584361,1.4516542271122828,-1.9040254152395595
20,83,107,50.3,0,1,1,0,1,2.51,-1.0274077337461103,-1.6848280287417996,-1.6604304558959793
180,101,127,600.1,0,1,0,0,1,3.33,2.691923056575004,-0.4575088851467238,-0.4424556591780779
45,107,137,320.4,1,0,0,0,0,7.12,-0.4462622977584361,-0.048402503948365226,0.1665317391808728
30,90,107,105.3,0,0,0,0,0,3.51,-0.7949495593510405,-1.2075372506770479,-1.6604304558959793
15,80,100,50.5,0,1,1,0,1,3.37,-1.143636820943645,-1.8893812193409787,-2.086721634747245
20,150,171,127.4,0,1,1,1,0,6.37,-1.0274077337461103,2.883526561306538,2.237088893601305
20,151,168,229.4,0,1,1,1,0,11.47,-1.0274077337461103,2.951710958172931,2.05439267409362
30,95,128,128.2,0,0,0,0,0,4.27,-0.7949495593510405,-0.8666152663450823,-0.38155691934218283
25,152,168,244.2,0,0,1,1,0,9.77,-0.9111786465485754,3.019895355039324,2.05439267409362
30,109,131,188.2,0,0,0,0,0,6.27,-0.7949495593510405,0.08796628978442096,-0.1988606998344976
90,93,124,604.1,0,1,0,0,1,6.71,0.5997994870193771,-1.0029840600778686,-0.625151878685763
20,95,112,77.7,0,1,0,0,0,3.88,-1.0274077337461103,-0.8666152663450823,-1.355936756716504
90,90,110,500.0,0,1,0,0,0,5.56,0.5997994870193771,-1.2075372506770479,-1.477734236388294
90,90,100,500.0,0,1,0,0,0,5.56,0.5997994870193771,-1.2075372506770479,-2.086721634747245
90,90,100,500.4,0,1,0,0,0,5.56,0.5997994870193771,-1.2075372506770479,-2.086721634747245
30,92,108,92.7,0,0,0,0,0,3.09,-0.7949495593510405,-1.0711684569442617,-1.5995317160600842
30,93,128,124.0,0,0,0,0,0,4.13,-0.7949495593510405,-1.0029840600778686,-0.38155691934218283
180,90,120,800.3,0,1,0,0,1,4.45,2.691923056575004,-1.2075372506770479,-0.8687468380293434
30,90,120,86.2,0,0,0,0,0,2.87,-0.7949495593510405,-1.2075372506770479,-0.8687468380293434
90,90,120,500.3,0,1,0,0,0,5.56,0.5997994870193771,-1.2075372506770479,-0.8687468380293434
210,137,184,1860.4,0,1,1,1,1,8.86,3.3892975797602127,1.9971294020434276,3.028772511467941
60,102,124,325.2,0,0,0,0,0,5.42,-0.09757503616583171,-0.3893244882803307,-0.625151878685763
45,107,124,275.0,0,0,0,0,0,6.11,-0.4462622977584361,-0.048402503948365226,-0.625151878685763
15,124,139,124.2,0,1,0,0,0,8.28,-1.143636820943645,1.1107322427803175,0.28832921885266294
60,108,131,367.6,0,0,0,0,0,6.13,-0.09757503616583171,0.019781892918027864,-0.1988606998344976
60,108,151,351.7,0,0,0,0,0,5.86,-0.09757503616583171,0.019781892918027864,1.0191140968834038
60,116,141,443.0,0,0,0,0,0,7.38,-0.09757503616583171,0.5652570678491726,0.41012669852445305
60,97,122,277.4,0,0,0,0,0,4.62,-0.09757503616583171,-0.7302464726122961,-0.7469493583575532
60,105,125,320.4,1,0,0,0,0,5.34,-0.09757503616583171,-0.18477129768115141,-0.564253138849868
60,103,124,332.7,0,0,0,0,0,5.54,-0.09757503616583171,-0.3211400914139376,-0.625151878685763
30,112,137,193.9,0,0,0,0,0,6.46,-0.7949495593510405,0.29251948038360026,0.1665317391808728
45,100,120,100.7,0,0,0,0,0,2.24,-0.4462622977584361,-0.5256932820131169,-0.8687468380293434
60,119,169,336.7,0,0,0,1,0,5.61,-0.09757503616583171,0.7698102584483519,2.115291413929515
60,107,127,344.9,0,0,0,0,0,5.75,-0.09757503616583171,-0.048402503948365226,-0.4424556591780779
60,111,151,368.5,0,0,0,0,0,6.14,-0.09757503616583171,0.22433508351720716,1.0191140968834038
60,98,122,271.0,0,0,0,0,0,4.52,-0.09757503616583171,-0.662062075745903,-0.7469493583575532
60,97,124,275.3,0,0,0,0,0,4.59,-0.09757503616583171,-0.7302464726122961,-0.625151878685763
60,109,127,382.0,0,0,0,0,0,6.37,-0.09757503616583171,0.08796628978442096,-0.4424556591780779
90,99,125,466.4,0,1,0,0,0,5.18,0.5997994870193771,-0.59387767887951,-0.564253138849868
60,114,151,384.0,0,0,0,0,0,6.4,-0.09757503616583171,0.4288882741163864,1.0191140968834038
60,104,134,342.5,0,0,0,0,0,5.71,-0.09757503616583171,-0.2529556945475445,-0.016164480326812402
60,107,138,357.5,0,0,0,0,0,5.96,-0.09757503616583171,-0.048402503948365226,0.22743047901676786
60,103,133,335.0,0,0,0,0,0,5.58,-0.09757503616583171,-0.3211400914139376,-0.07706322016270747
60,106,132,327.5,0,0,0,0,0,5.46,-0.09757503616583171,-0.11658690081475832,-0.13796195999860253
60,103,136,339.0,0,0,0,0,0,5.65,-0.09757503616583171,-0.3211400914139376,0.10563299934497773
20,136,156,189.0,0,1,1,0,0,9.45,-1.0274077337461103,1.9289450051770345,1.3236077960628791
45,117,143,317.7,0,0,0,0,0,7.06,-0.4462622977584361,0.6334414647155657,0.5319241781962432
45,115,137,318.0,0,0,0,0,0,7.07,-0.4462622977584361,0.4970726709827795,0.1665317391808728
45,113,138,308.0,0,0,0,0,0,6.84,-0.4462622977584361,0.36070387724999337,0.22743047901676786
20,141,162,222.4,0,1,1,0,0,11.12,-1.0274077337461103,2.269866989509,1.6890002350782496
60,108,135,390.0,0,0,0,0,0,6.5,-0.09757503616583171,0.019781892918027864,0.04473425950908266
60,97,127,320.4,1,0,0,0,0,5.34,-0.09757503616583171,-0.7302464726122961,-0.4424556591780779
45,100,120,250.4,0,0,0,0,0,5.56,-0.4462622977584361,-0.5256932820131169,-0.8687468380293434
45,122,149,335.4,0,0,0,0,0,7.45,-0.4462622977584361,0.9743634490475311,0.8973166172116136
60,136,170,470.2,0,0,1,1,0,7.84,-0.09757503616583171,1.9289450051770345,2.1761901537654103
45,106,126,270.8,0,0,0,0,0,6.02,-0.4462622977584361,-0.11658690081475832,-0.5033543990139729
60,107,136,400.0,0,0,0,0,0,6.67,-0.09757503616583171,-0.048402503948365226,0.10563299934497773
60,112,146,361.9,0,0,0,0,0,6.03,-0.09757503616583171,0.29251948038360026,0.7146203977039284
30,103,127,185.0,0,0,0,0,0,6.17,-0.7949495593510405,-0.3211400914139376,-0.4424556591780779
60,110,150,409.4,0,0,0,0,0,6.82,-0.09757503616583171,0.15615068665081405,0.9582153570475087
60,106,134,343.0,0,0,0,0,0,5.72,-0.09757503616583171,-0.11658690081475832,-0.016164480326812402
60,109,129,353.2,0,0,0,0,0,5.89,-0.09757503616583171,0.08796628978442096,-0.3206581795062877
60,109,138,374.0,0,0,0,0,0,6.23,-0.09757503616583171,0.08796628978442096,0.22743047901676786
30,150,167,275.8,0,0,1,1,0,9.19,-0.7949495593510405,2.883526561306538,1.993493934257725
60,105,128,328.0,0,0,0,0,0,5.47,-0.09757503616583171,-0.18477129768115141,-0.38155691934218283
60,97,131,270.4,0,0,0,0,0,4.51,-0.09757503616583171,-0.7302464726122961,-0.1988606998344976
60,100,120,270.4,0,0,0,0,0,4.51,-0.09757503616583171,-0.5256932820131169,-0.8687468380293434
60,114,150,382.8,0,0,0,0,0,6.38,-0.09757503616583171,0.4288882741163864,0.9582153570475087
30,80,120,240.9,0,0,1,0,0,8.03,-0.7949495593510405,-1.8893812193409787,-0.8687468380293434
30,85,120,250.4,0,0,0,0,0,8.35,-0.7949495593510405,-1.5484592350090134,-0.8687468380293434
45,90,130,260.4,0,0,0,0,0,5.79,-0.4462622977584361,-1.2075372506770479,-0.25975943967039267
45,95,130,270.0,0,0,0,0,0,6.0,-0.4462622977584361,-0.8666152663450823,-0.25975943967039267
45,100,140,280.9,0,0,0,0,0,6.24,-0.4462622977584361,-0.5256932820131169,0.349227958688558
60,105,140,290.8,0,0,0,0,0,4.85,-0.09757503616583171,-0.18477129768115141,0.349227958688558
60,110,145,300.0,0,0,0,0,0,5.0,-0.09757503616583171,0.15615068665081405,0.6537216578680334
60,115,145,310.2,0,0,0,0,0,5.17,-0.09757503616583171,0.4970726709827795,0.6537216578680334
75,120,150,320.4,0,0,0,0,0,4.27,0.2511122254267727,0.837994655314745,0.9582153570475087
75,125,150,330.4,0,0,0,0,0,4.41,0.2511122254267727,1.1789166396467106,0.9582153570475087
